Property ID,Property name,Final URL,Image URL,Destination name,Price,Star rating,Score,Max score,Facilities
51707931341,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/ca41fe0511ba09c4.png,Адлер,3591 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707944883,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/705683043a049e20.png,Адлер,3847 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707957117,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/1c072d0a2c7b1bf1.png,Адлер,4423 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707944671,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/b16844e3339d5863.png,Адлер,3335 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707944857,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/66e16bf8f45d717c.png,Адлер,4891 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707944907,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/09233484130d89e8.png,Адлер,4535 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707944981,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/c90968051ba78947.png,Адлер,5244 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
51707933849,Отель МIO,https://sutochno.ru/front/searchapp/hotels/51707,https://pumpons.github.io/sutochno-feeds/images/c60b2abafb319224.png,Адлер,3477 RUB,3,4.9212522045855,5.0,бар;круглосуточная стойка;сауна;Терраса;Бассейн (открытый);лифт
688951148631,Объект Bamboo Garden,https://sutochno.ru/front/searchapp/hotels/68895,https://pumpons.github.io/sutochno-feeds/images/5dc0b21805c97217.png,Адлер,3540 RUB,0,4.9210600907029,5.0,
688951054119,Объект Bamboo Garden,https://sutochno.ru/front/searchapp/hotels/68895,https://pumpons.github.io/sutochno-feeds/images/5dc0b21805c97217.png,Адлер,3540 RUB,0,4.9210600907029,5.0,
